"","StateFullName","Year","Population","Category","State","Revenue","Description","Unemployment"
"7","Alabama",2005,4569805,"T01","AL",231136,"Property Taxes",0.05083
"8","Alabama",2005,4569805,"T16","AL",152886,"Tobacco Products Sales Tax",0.05083
"9","Alabama",2005,4569805,"T28","AL",122855,"Occupation and Businesses License, NEC",0.05083
"10","Alabama",2005,4569805,"T29","AL",1,"Other License Taxes",0.05083
"11","Alabama",2005,4569805,"T99","AL",0,"Taxes, NEC",0.05083
"13","Alabama",2005,4569805,"T19","AL",192351,"Other Selective Sales and Gross Receipts Taxes",0.05083
"14","Alabama",2005,4569805,"T23","AL",15455,"Hunting and Fishing License",0.05083
"15","Alabama",2005,4569805,"T12","AL",272681,"Insurance Premiums Sales Tax",0.05083
"16","Alabama",2005,4569805,"T11","AL",92,"Amusements Sales Tax",0.05083
"17","Alabama",2005,4569805,"T22","AL",80654,"Corporations in General License",0.05083
"18","Alabama",2005,4569805,"T09","AL",2033192,"General Sales and Gross Receipts Taxes",0.05083
"19","Alabama",2005,4569805,"T25","AL",15008,"Motor Vehicle Operators License",0.05083
"20","Alabama",2005,4569805,"T40","AL",2536521,"Individual Income Taxes",0.05083
"21","Alabama",2005,4569805,"T14","AL",3096,"Pari-mutuels Sales Tax",0.05083
"22","Alabama",2005,4569805,"T15","AL",630252,"Public Utilities Sales Tax",0.05083
"23","Alabama",2005,4569805,"T24","AL",191141,"Motor Vehicles License",0.05083
"24","Alabama",2005,4569805,"T10","AL",118288,"Alcoholic Beverages Sales Tax",0.05083
"25","Alabama",2005,4569805,"T20","AL",2468,"Alcoholic Beverages License",0.05083
"26","Alabama",2005,4569805,"T50","AL",14462,"Death and Gift Taxes",0.05083
"27","Alabama",2005,4569805,"T41","AL",397308,"Corporation Net Income Taxes",0.05083
"28","Alabama",2005,4569805,"T21","AL",0,"Amusements License",0.05083
"29","Alabama",2005,4569805,"T13","AL",559978,"Motor Fuels Sales Tax",0.05083
"30","Alabama",2005,4569805,"T51","AL",48644,"Documentary and Stock Transfer Taxes",0.05083
"31","Alabama",2005,4569805,"T53","AL",144813,"Severance Taxes",0.05083
"32","Alabama",2005,4569805,"T27","AL",10865,"Public Utilities License",0.05083
"33","Alabama",2006,4628981,"T99","AL",0,"Taxes, NEC",0.04608
"34","Alabama",2006,4628981,"T21","AL",0,"Amusements License",0.04608
"35","Alabama",2006,4628981,"T24","AL",223052,"Motor Vehicles License",0.04608
"36","Alabama",2006,4628981,"T01","AL",249383,"Property Taxes",0.04608
"37","Alabama",2006,4628981,"T16","AL",154321,"Tobacco Products Sales Tax",0.04608
"38","Alabama",2006,4628981,"T09","AL",2221506,"General Sales and Gross Receipts Taxes",0.04608
"39","Alabama",2006,4628981,"T29","AL",0,"Other License Taxes",0.04608
"40","Alabama",2006,4628981,"T12","AL",273432,"Insurance Premiums Sales Tax",0.04608
"41","Alabama",2006,4628981,"T10","AL",120662,"Alcoholic Beverages Sales Tax",0.04608
"42","Alabama",2006,4628981,"T41","AL",558768,"Corporation Net Income Taxes",0.04608
"43","Alabama",2006,4628981,"T19","AL",201804,"Other Selective Sales and Gross Receipts Taxes",0.04608
"44","Alabama",2006,4628981,"T40","AL",2766239,"Individual Income Taxes",0.04608
"45","Alabama",2006,4628981,"T14","AL",3207,"Pari-mutuels Sales Tax",0.04608
"46","Alabama",2006,4628981,"T22","AL",88112,"Corporations in General License",0.04608
"47","Alabama",2006,4628981,"T50","AL",1865,"Death and Gift Taxes",0.04608
"48","Alabama",2006,4628981,"T28","AL",125573,"Occupation and Businesses License, NEC",0.04608
"49","Alabama",2006,4628981,"T53","AL",182778,"Severance Taxes",0.04608
"50","Alabama",2006,4628981,"T51","AL",54779,"Documentary and Stock Transfer Taxes",0.04608
"51","Alabama",2006,4628981,"T13","AL",566700,"Motor Fuels Sales Tax",0.04608
"52","Alabama",2006,4628981,"T27","AL",11710,"Public Utilities License",0.04608
"53","Alabama",2006,4628981,"T11","AL",89,"Amusements Sales Tax",0.04608
"54","Alabama",2006,4628981,"T23","AL",16602,"Hunting and Fishing License",0.04608
"55","Alabama",2006,4628981,"T25","AL",14491,"Motor Vehicle Operators License",0.04608
"56","Alabama",2006,4628981,"T15","AL",692174,"Public Utilities Sales Tax",0.04608
"57","Alabama",2006,4628981,"T20","AL",2429,"Alcoholic Beverages License",0.04608
"58","Alabama",2007,4672840,"T21","AL",0,"Amusements License",0.04616
"59","Alabama",2007,4672840,"T51","AL",56592,"Documentary and Stock Transfer Taxes",0.04616
"60","Alabama",2007,4672840,"T13","AL",567791,"Motor Fuels Sales Tax",0.04616
"61","Alabama",2007,4672840,"T41","AL",505886,"Corporation Net Income Taxes",0.04616
"62","Alabama",2007,4672840,"T12","AL",276814,"Insurance Premiums Sales Tax",0.04616
"63","Alabama",2007,4672840,"T50","AL",671,"Death and Gift Taxes",0.04616
"64","Alabama",2007,4672840,"T24","AL",204831,"Motor Vehicles License",0.04616
